SortOrder,Repo,Phase,Module,Title,Description,Priority,Labels,Status,Iteration,StartDate,TargetDate
147,ChurchOS-Mobile,Phase 4,Events,Build ticket QR screen,"Display event ticket QR code.",Medium,"events,mobile",Todo,Phase 4,2026-12-22,2026-12-28
148,ChurchOS-Mobile,Phase 4,Sermons,Build sermon library screen,"List and search sermons.",Medium,"sermons,mobile",Todo,Phase 4,2026-12-22,2026-12-28
149,ChurchOS-Mobile,Phase 4,Sermons,Build sermon player screen,"Audio player with offline download.",Medium,"sermons,mobile",Todo,Phase 4,2026-12-22,2026-12-28
150,ChurchOS-Mobile,Phase 4,Sermons,Implement offline sermon download,"Download audio over WiFi, store locally, auto-delete after 30 days.",Medium,"sermons,offline,mobile",Todo,Phase 4,2026-12-22,2026-12-28
151,ChurchOS-Mobile,Phase 4,Prayer,Build prayer request screen,"Submit prayer requests.",Medium,"prayer,mobile",Todo,Phase 4,2026-12-22,2026-12-28
152,ChurchOS-Mobile,Phase 4,Notifications,Implement push notifications,"Firebase Cloud Messaging integration.",Medium,"notifications,mobile",Todo,Phase 4,2026-12-22,2026-12-28
153,ChurchOS-Mobile,Phase 4,Quality,Optimize APK size below 20MB,"Reduce dependencies, lazy loading.",High,"performance,mobile",Todo,Phase 4,2026-12-22,2026-12-28
154,ChurchOS-Mobile,Phase 4,Quality,Test on low-end devices,"Test on Tecno, Infinix, Samsung devices.",High,"testing,mobile",Todo,Phase 4,2026-12-22,2026-12-28
155,ChurchOS-Mobile,Phase 4,Distribution,Configure Firebase App Distribution,"Set up beta testing for pilot churches.",Medium,"distribution,mobile",Todo,Phase 4,2026-12-29,2026-12-31
156,ChurchOS-Mobile,Phase 4,Distribution,Build release APK and AAB,"Configure signing for Play Store.",High,"distribution,mobile",Todo,Phase 4,2026-12-29,2026-12-31
157,ChurchOS-Mobile,Phase 4,Distribution,Submit to Google Play Store,"Create store listing, screenshots, release.",Medium,"distribution,mobile",Todo,Phase 4,2026-12-29,2026-12-31
158,ChurchOS-Mobile,Phase 4,Distribution,Build iOS app and submit to App Store,"Configure Xcode, certificates, App Store submission.",Low,"distribution,mobile",Todo,Phase 4,2026-12-29,2026-12-31
